,date,tz,city,idx,lat,lon,aqi,pm25,pm10,so2,no2,o3,co,h,t,r,w
249,2021-01-01 01:00:00,+08:00,"xīnshì fǔ, Yunfu (云浮新市府)",9857,22.9169,112.0392,85,85,30,4.1,9.6,,4.6,41.2,8.9,,3
250,2022-03-16 15:00:00,+08:00,"mùyáng, Yunfu (云浮牧羊)",9858,22.9539,112.0539,78,78,31,3.6,10.1,,4.6,79.9,24.5,99.1,2
251,2022-03-16 15:00:00,+08:00,"Háojiāngzi, Shantou (汕头濠江子站)",3481,23.2775,116.7258,59,59,39,5.1,6.4,49.2,5.5,57,27,,2.5
252,2022-03-16 15:00:00,+08:00,"Jīnpíngzi, Shantou (汕头金平子站)",3482,23.3667,116.6794,65,65,50,4.6,6.9,56.5,6.4,57,27,,2.5
253,2022-03-16 15:00:00,+08:00,"Chaonanzi Station, Shantou (汕头潮南子站)",4692,23.2536,116.4019,95,95,47,5.1,7.4,61.7,5.5,57,27,,2.5
254,2022-03-16 15:00:00,+08:00,"Chénghǎizi, Shantou (汕头澄海子站)",3484,23.4714,116.7519,74,74,36,4.6,8.3,51.3,5.5,57,27,,2.5
255,2022-03-16 15:00:00,+08:00,"Cháoyángzi, Shantou (汕头潮阳子站)",3485,23.2539,116.6092,55,53,37,5.6,5.1,55.2,5.5,57,27,,2.5
256,2022-03-16 15:00:00,+08:00,"Lónghúzi, Shantou (汕头龙湖子站)",3486,23.3633,116.7244,68,68,47,3.6,10.6,50,4.6,57,27,,2.5
257,2022-03-16 15:00:00,+08:00,"Bìhú shānzhuāng, Shaoguan (韶关碧湖山庄)",3487,24.81119444,113.5593889,63,63,22,3.6,6.9,25.2,3.7,67.7,25.1,,4
258,2022-03-16 15:00:00,+08:00,"No.8 middle school, Shaoguan (韶关市八中)",3488,24.769519,113.586606,55,55,28,5.6,8.7,27.3,4.6,67.7,25.1,,4
259,2022-03-16 15:00:00,+08:00,"Forest area, Shaoguan (韶关园林处)",3489,24.795928,113.598061,61,61,24,5.1,6.4,25.6,4.6,67.7,25.1,,4
260,2022-03-16 15:00:00,+08:00,"Qujiang Monitoring Station, Shaoguan (韶关曲江监测站)",3490,24.68636111,113.5970833,63,63,33,6.1,8.3,26.4,2.8,67.7,25.1,,4
261,2022-03-16 15:00:00,+08:00,"Shaoguan University, Shaoguan (韶关韶关学院)",3491,24.77908333,113.6734722,72,72,29,8.7,9.2,28.1,7.3,67.7,25.1,,4
262,,+08:00,"Environment protection office, Qingyuan (清远环保局)",3507,23.6936,113.0425,-,,,,,,,57.5,34.5,,0.5
263,2022-03-16 15:00:00,+08:00,"Fengcheng Subdistrict, Qingyuan (清远凤城街办)",3508,23.7106,113.0208,59,59,39,4.6,11.9,27.7,7.3,65,26,,0.5
264,,+08:00,"Fupin district, Qingyuan (清远扶贫区)",3509,23.6272,113.0622,-,,,,,,,57.5,34.5,,0.5
265,,+08:00,"City water company, Heyuan (河源市自来水厂)",3510,23.7569,114.6778,-,,,,,,,74.8,30.9,,
266,,+08:00,"Heyuan high school, Heyuan (河源河源中学)",3512,23.7233,114.6892,-,,,,,,,74.8,30.9,,
267,2022-03-16 15:00:00,+08:00,Shaoguan (韶关),1538,24.810403,113.597522,61,61,24,5.1,6.4,,4.6,67.7,25.1,,4
268,2022-03-16 15:00:00,+08:00,Zhuhai (珠海),1540,22.270715,113.576726,57,57,27,6.1,9.6,,3.7,88,24,,2.5
269,2022-03-16 15:00:00,+08:00,Shantou (汕头),1541,23.353299,116.681838,65,65,50,4.6,6.9,,6.4,57,27,,2.5
270,2022-03-16 15:00:00,+08:00,Foshan (佛山),1542,23.021548,113.121416,59,59,40,5.1,12.8,46.3,3.7,65,26,,0.5
271,2022-03-16 15:00:00,+08:00,Zhanjiang (湛江),1543,21.270702,110.359387,50,50,23,2.1,3.2,,2.8,80.9,24.4,,3
272,2022-03-16 15:00:00,+08:00,Zhongshan (中山),1544,22.516686,113.392795,70,70,29,3.6,5.5,,4.6,73,24,,2.5
273,2022-03-16 15:00:00,+08:00,Jiangmen (江门),1545,22.578738,113.081901,78,78,43,5.1,6.9,,3.7,88,22,,2.5
274,2022-03-16 15:00:00,+08:00,Zhaoqing (肇庆),1546,23.047192,112.465091,53,53,22,4.1,11.5,,4.6,65,26,,0.5
275,2022-03-16 15:00:00,+08:00,Dongguan (东莞),1547,23.020536,113.751765,46,46,20,4.1,6.4,,5.5,73,24,,2.5
276,2022-03-16 15:00:00,+08:00,Huizhou (惠州),1548,23.111847,114.416196,55,55,41,2.6,3.7,,5.5,73,24,,2.5
277,2020-02-09 13:00:00,+08:00,Shunde (顺德),1549,22.80524,113.293359,-,42,10,3.1,2.8,,5.5,71,15.2,0,2.1
278,2022-03-16 15:00:00,+08:00,Heyuan (河源),3513,23.743538,114.700447,57,57,26,2.1,4.6,26,5.5,58.7,27.3,99.1,4
279,2021-01-01 01:00:00,+08:00,Qingyuan (清远),3514,23.681764,113.056031,68,68,29,8.2,11,,7.3,20,7,,5.6
280,2022-03-16 15:00:00,+08:00,Chaozhou (潮州),4338,23.65695,116.622604,95,95,43,5.6,6.4,,6.4,57,27,,2.5
281,2022-03-16 15:00:00,+08:00,Jieyang (揭阳),4339,23.549993,116.372831,68,68,31,5.6,6.4,30.5,6.4,57,27,,2.5
282,2022-03-16 15:00:00,+08:00,Maoming (茂名),4340,21.662999,110.925456,13,5,13,3.6,1.9,,5.5,75.9,23.9,,2
283,2022-03-16 15:00:00,+08:00,Meizhou (梅州),4341,24.288615,116.122239,76,76,40,3.1,3.7,,4.6,57,27,,2.5
284,2022-03-16 15:00:00,+08:00,Shanwei (汕尾),4342,22.786211,115.375279,65,65,29,4.1,2.3,,4.6,60.6,26.1,,3
285,2022-03-16 15:00:00,+08:00,Yangjiang (阳江),4343,21.857958,111.982232,61,61,23,2.1,1.9,,4.6,77.5,25,,2
286,2021-01-01 01:00:00,+08:00,Yunfu (云浮),4344,22.915094,112.044491,95,95,61,6.1,28.8,,8.2,41.2,8.9,99.1,3
287,2022-03-16 15:00:00,+08:00,Guangzhou US Consulate (美国领事馆 - 广州 中国),3305,23.141191,113.258374,31,,29,4.1,8.7,31.3,5.9,65,26,,0.5
288,,+08:00,"US consulate, Chengdu (US consulate)",3306,30.6250145,104.0670559,-,,,,,,,45,29,,4.6
289,2022-03-16 15:00:00,+08:00,"Jinquan lianghe, Chengdu (成都金泉两河)",1360,30.72358333,103.97275,122,122,57,4.6,3.2,63,6.4,45,29,,4.6
290,2022-03-16 15:00:00,+08:00,"Shilidian, Chengdu (成都十里店)",1361,30.6872,104.176,142,142,73,3.6,8.7,63,6.4,45,29,,4.6
291,2022-03-16 15:00:00,+08:00,"Sanwayao, Chengdu (成都三瓦窑)",1362,30.5706,104.079,151,151,75,4.1,11,66.2,5.5,45,29,,4.6
292,2022-03-16 15:00:00,+08:00,"Shahepu, Chengdu (成都沙河铺)",1363,30.63,104.1113889,161,161,74,4.1,10.6,73.4,6.4,45,29,,4.6
293,,+08:00,"Liang Lane, Chengdu (成都梁家巷)",1364,30.685,104.074,-,,,,,,,61,28,,0.5
294,2021-02-28 15:00:00,+08:00,"Caotang Temple, Chengdu (成都草堂寺)",1365,30.6544,104.026,53,53,23,3.1,8.7,17.5,8.4,76,11,,3.6
295,2021-02-28 15:00:00,+08:00,"People's Park, Chengdu (成都人民公园)",1366,30.6578,104.054,38,38,16,2.6,10.6,20.4,5,76,11,,3.6
296,2022-03-14 02:00:00,+08:00,"Lingyansi, Chengdu (成都灵岩寺)",1367,31.0283,103.613,163,163,71,6.6,5.1,100.6,7.3,73,22,,0.5
297,2022-03-16 15:00:00,+08:00,"Fuleshan, Mianyang (绵阳富乐山)",3598,31.4747,104.7778,109,109,49,4.6,3.7,46.3,8.2,50.1,27.3,,4
298,2022-03-16 15:00:00,+08:00,"Municipal People's Congress, Mianyang (绵阳市人大)",3599,31.4539,104.7536,102,102,50,5.6,3.2,49.2,4.6,50.1,27.3,,4
299,2022-03-16 15:00:00,+08:00,"High-tech Zone Water Company, Mianyang (绵阳高新区自来水公司)",3600,31.4656,104.6717,122,122,52,4.6,3.7,49.6,6.4,50.1,27.3,,4
300,2022-03-16 15:00:00,+08:00,"No.3 water company, Mianyang (绵阳三水厂)",3601,31.5072,104.7283,107,107,50,2.6,3.2,46.3,9.1,50.1,27.3,,4
301,2022-03-16 15:00:00,+08:00,"Dongshan Park, Deyang (德阳东山公园)",3602,31.1208,104.4219,109,109,58,4.1,5.5,55.2,5.5,45,29,,4.6
302,2022-03-16 15:00:00,+08:00,"Xixiaoqu, Deyang (德阳西小区)",3603,31.1333,104.3883,109,109,56,4.6,4.2,55.2,4.6,45,29,,4.6
303,2021-01-01 01:00:00,+08:00,"City Procuratorate, Deyang (德阳市检察院)",3604,31.1167,104.4053,147,147,59,1.6,26.6,1.7,5.5,86,2,,0.5
304,2022-03-16 15:00:00,+08:00,"Refractory Factory, Deyang (德阳耐火材料厂)",3605,31.1108,104.3539,114,114,68,4.1,6,49.6,4.6,45,29,,4.6
