,name,idx,lat,lon,url
3117,"Bin County Environmental Protection Bureau, Xianyang",11118,35.037500000226,108.08249999958,http://aqicn.org/city/china/xianyang/binxianhuanbaoju/
3118,"Sanyuan County Stadium, Xianyang",11119,34.620277779697,108.9322222,http://aqicn.org/city/china/xianyang/sanyuanxiantiyuchang/
3119,"Ganxian Agricultural Bureau, Xianyang",11120,34.52944444001,108.23472219977,http://aqicn.org/city/china/xianyang/qianxiannongyeju/
3120,"Xingping City Water Company, Xianyang",11121,34.30333332987,108.47777779991,http://aqicn.org/city/china/xianyang/xingpingshizilaishuigongsi/
3121,"Changwu County Changwu Middle School, Xianyang",11122,35.211944440085,107.77916669988,http://aqicn.org/city/china/xianyang/changwuxianchangwuzhongxue/
3122,"Suihua County Government, Xianyang",11123,34.800555559592,108.57499999985,http://aqicn.org/city/china/xianyang/chunhuaxianzhengfu/
3123,"Yongshou County Environmental Protection Bureau, Xianyang",11124,34.693055560167,108.13666669971,http://aqicn.org/city/china/xianyang/yongshouxianhuanbaoju/
3124,"Yaozhou District Government, Tongchuan",11125,34.911111109991,108.97472220027,http://aqicn.org/city/china/tongchuan/yaozhouquzhengfu/
3125,"Yintai District Government, Tongchuan",11126,35.12071700039,109.10610299965,http://aqicn.org/city/china/tongchuan/yintaiquzhengfu/
3126,"Yijun County Government, Tongchuan",11127,35.398888889811,109.11166669956,http://aqicn.org/city/china/tongchuan/yijunxianzhengfu/
3127,"Heyang County People's Congress, Weinan",11128,35.243804000055,110.15598500021,http://aqicn.org/city/china/weinan/heyangxianrenda/
3128,"Huazhou District Government, Weinan",11129,34.49944443971,109.77083329992,http://aqicn.org/city/china/weinan/huazhouquzhengfu/
3129,"Dayi County Urban Management Bureau, Weinan",11130,34.791111109691,109.94611110015,http://aqicn.org/city/china/weinan/dalixianchengguanju/
3130,"Pucheng County Government, Weinan",11131,34.956944440235,109.5811110998,http://aqicn.org/city/china/weinan/puchengxianzhengfu/
3131,"Chengcheng County Government, Weinan",11132,35.191111109791,109.92666669991,http://aqicn.org/city/china/weinan/chengchengxianzhengfu/
3132,"Baishui County People's Congress, Weinan",11133,35.178611109816,109.58388889965,http://aqicn.org/city/china/weinan/baishuixianrenda/
3133,"Shaoguan County Government, Weinan",11134,34.546388890436,110.2411111001,http://aqicn.org/city/china/weinan/tongguanxianzhengfu/
3134,"Fuping County Archives Bureau, Weinan",11135,34.753055559867,109.17444440019,http://aqicn.org/city/china/weinan/fupingxiandanganju/
3135,"Huayin City Government, Weinan",11136,34.571801000217,110.09868099983,http://aqicn.org/city/china/weinan/huayinshizhengfu/
3136,"Ansai District People's Hospital, Yanan",11137,36.863611109866,109.32361109977,http://aqicn.org/city/china/yanan/ansaiqurenminyiyuan/
3137,"Wuqi County Environmental Protection Bureau, Yanan",11138,36.89611111034,108.19361109987,http://aqicn.org/city/china/yanan/wuqixianhuanbaoju/
3138,"Zhidan County Government, Yanan",11139,36.82222222018,108.76833329994,http://aqicn.org/city/china/yanan/zhidanxianzhengfu/
3139,"Fuxian Shaliang Middle School, Yanan",11140,35.995277779647,109.3788888997,http://aqicn.org/city/china/yanan/fuxianshaliangzhongxue/
3140,"Yichuan County Environmental Protection Bureau, Yanan",11141,36.055503000164,110.17908599982,http://aqicn.org/city/china/yanan/yichuanxianhuanbaoju/
3141,"Luochuan County Apple Bureau, Yanan",11142,35.760555560192,109.42833330024,http://aqicn.org/city/china/yanan/luochuanxianpingguoju/
3142,"Huanglong County Tourism Bureau, Yanan",11143,35.583055560367,109.83694439977,http://aqicn.org/city/china/yanan/huanglongxianlvyouju/
3143,"Huangling County Environmental Protection Bureau, Yanan",11144,35.583888890161,109.24388890015,http://aqicn.org/city/china/yanan/huanglingxianhuanbaoju/
3144,"Yanchuan County Environmental Protection Bureau, Yanan",11145,36.87722222043,110.18750000023,http://aqicn.org/city/china/yanan/yanchuanxianhuanbaoju/
3145,"Yanxian County Environmental Protection Bureau, Yanan",11146,36.57611111044,110.00055559996,http://aqicn.org/city/china/yanan/yanchangxianhuanbaoju/
3146,"Zichang County Environmental Protection Bureau, Yanan",11147,37.145833329945,109.68333330009,http://aqicn.org/city/china/yanan/zichangxianhuanbaoju/
3147,"Ganquan County Environmental Protection Bureau, Yanan",11148,36.270555559892,109.35361110007,http://aqicn.org/city/china/yanan/ganquanxianhuanbaoju/
3148,"Foping County Environmental Protection Bureau, Hanzhong",11160,33.518055559817,107.98305560004,http://aqicn.org/city/china/hanzhong/fupingxianhuanbaoju/
3149,"Liuba County Monitoring Station, Hanzhong",11161,33.620000000001,106.91611110045,http://aqicn.org/city/china/hanzhong/liubaxianjiancezhan/
3150,"Xixiang County Monitoring Station, Hanzhong",11162,32.990555559792,107.75833330034,http://aqicn.org/city/china/hanzhong/xixiangxianjiancezhan/
3151,"Lueyang County Maternal and Child Health Hospital, Hanzhong",11163,33.331111110091,106.15555559991,http://aqicn.org/city/china/hanzhong/lueyangxianfuyoubaojianyuan/
3152,"Ningqiang County Government, Hanzhong",11164,32.831944439985,106.25305560044,http://aqicn.org/city/china/hanzhong/ningqiangxianzhengfu/
3153,"Yangxian government, Hanzhong",11165,33.225000000251,107.54138889978,http://aqicn.org/city/china/hanzhong/yangxianzhengfu/
3154,"Jixian County Government, Hanzhong",11166,33.154166670057,106.66916669958,http://aqicn.org/city/china/hanzhong/mianxianzhengfu/
3155,"Zhenba County Monitoring Station, Hanzhong",11167,32.53944444021,107.89055559986,http://aqicn.org/city/china/hanzhong/zhenbaxianjiancezhan/
